TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.132,17.003788,-4.055173,-17.731819
0.133,17.014214,-4.068396,-17.687126
0.134,17.02464,-4.088231,-17.597738
0.135,17.035066,-4.108067,-17.50835
0.136,17.055919,-4.114678,-17.463656
0.137,17.076771,-4.12129,-17.329575
0.138,17.097623,-4.127902,-17.284881
0.139,17.118475,-4.134513,-17.240187
0.14,17.139327,-4.141125,-17.240187
0.141,17.160179,-4.147737,-17.240187
0.142,17.181031,-4.141125,-17.195494
0.143,17.181031,-4.12129,-17.1508
0.144,17.201884,-4.094843,-17.061412
0.145,17.201884,-4.061784,-16.882637
0.146,17.201884,-4.022114,-16.659168
0.147,17.181031,-3.989055,-16.391005
0.148,17.170605,-3.962608,-16.167536
0.149,17.149753,-3.936162,-16.033455
0.15,17.128901,-3.916326,-15.988761
0.151,17.108049,-3.883268,-15.944067
0.152,17.087197,-3.850209,-15.944067
0.153,17.076771,-3.823762,-15.899373
0.154,17.066345,-3.797315,-15.899373
0.155,17.055919,-3.757645,-15.85468
0.156,17.045492,-3.717974,-15.809986
0.157,17.035066,-3.678304,-15.809986
0.158,17.02464,-3.638634,-15.765292
0.159,17.02464,-3.612187,-15.809986
0.16,17.035066,-3.58574,-15.85468
0.161,17.035066,-3.572516,-15.988761
0.162,17.045492,-3.565905,-16.21223
0.163,17.055919,-3.559293,-16.480393
0.164,17.076771,-3.552681,-16.748556
0.165,17.076771,-3.532846,-17.016718
0.166,17.087197,-3.513011,-17.195494
0.167,17.097623,-3.493176,-17.329575
0.168,17.108049,-3.486564,-17.463656
0.169,17.118475,-3.479952,-17.50835
0.17,17.108049,-3.47334,-17.50835
0.171,17.108049,-3.466729,-17.553044
0.172,17.108049,-3.479952,-17.553044
0.173,17.118475,-3.493176,-17.553044
0.174,17.128901,-3.513011,-17.463656
0.175,17.139327,-3.532846,-17.418963
0.176,17.128901,-3.552681,-17.329575
0.177,17.118475,-3.58574,-17.240187
0.178,17.118475,-3.605575,-17.106106
0.179,17.118475,-3.62541,-16.882637
0.18,17.128901,-3.645245,-16.659168
0.181,17.139327,-3.671692,-16.435699
0.182,17.170605,-3.711363,-16.21223
0.183,17.201884,-3.744421,-16.033455
0.184,17.233162,-3.77748,-15.85468
0.185,17.26444,-3.803927,-15.675904
0.186,17.295718,-3.830374,-15.541823
0.187,17.337423,-3.856821,-15.497129
0.188,17.358275,-3.889879,-15.407742
0.189,17.379127,-3.916326,-15.407742
0.19,17.379127,-3.942773,-15.363048
0.191,17.379127,-3.955997,-15.407742
0.192,17.379127,-3.96922,-15.497129
0.193,17.389553,-3.975832,-15.586517
0.194,17.399979,-3.96922,-15.720598
0.195,17.389553,-3.975832,-15.85468
0.196,17.379127,-3.975832,-16.078149
0.197,17.347849,-3.975832,-16.346311
0.198,17.316571,-3.962608,-16.56978
0.199,17.26444,-3.936162,-16.793249
0.235491,17.21231,-3.922938,-17.016718
0.236491,17.160179,-3.909715,-17.240187
0.237491,17.108049,-3.896491,-17.463656
0.238491,17.055919,-3.883268,-17.687126
0.239491,17.003788,-3.870044,-17.865901
0.240491,16.97251,-3.843597,-17.999982
0.241491,16.941232,-3.810539,-18.08937
0.242491,16.930806,-3.784092,-18.268145
0.243491,16.92038,-3.764257,-18.402226
0.244491,16.909953,-3.744421,-18.491614
0.245491,16.889101,-3.717974,-18.581002
0.246491,16.868249,-3.711363,-18.581002
0.247491,16.857823,-3.698139,-18.581002
