Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.150000	13.199919	1.903720	-100.596860
0.151000	13.174640	1.912447	-100.596337
0.152000	13.149361	1.912447	-100.596337
0.153000	13.124082	1.877542	-100.595292
0.154000	13.111442	1.851363	-100.589542
0.155000	13.124082	1.833910	-100.584314
0.156000	13.111442	1.816458	-100.579610
0.157000	13.098803	1.799005	-100.563928
0.158000	13.086163	1.790279	-100.548246
0.159000	13.073524	1.790279	-100.527860
0.160000	13.086163	1.790279	-100.504337
0.161000	13.111442	1.790279	-100.481860
0.162000	13.111442	1.781553	-100.463564
0.163000	13.098803	1.772826	-100.449973
0.164000	13.111442	1.764100	-100.442655
0.165000	13.149361	1.764100	-100.440564
0.166000	13.187279	1.764100	-100.438996
0.167000	13.199919	1.772826	-100.430109
0.168000	13.225198	1.772826	-100.420178
0.169000	13.250477	1.799005	-100.403973
0.170000	13.275756	1.851363	-100.386723
0.171000	13.288395	1.886268	-100.375746
0.172000	13.288395	1.912447	-100.358496
0.173000	13.301035	1.938625	-100.331314
0.174000	13.313674	1.973530	-100.308836
0.175000	13.326314	2.008435	-100.274859
0.176000	13.338953	2.017162	-100.239313
0.177000	13.338953	2.025888	-100.204813
0.178000	13.351593	2.043340	-100.165086
0.179000	13.389511	2.078245	-100.123268
0.180000	13.452708	2.104424	-100.079358
0.181000	13.503266	2.121877	-100.036495
0.182000	13.541185	2.139329	-99.990494
0.183000	13.579103	2.156782	-99.952858
0.184000	13.642301	2.156782	-99.925153
0.185000	13.692859	2.148055	-99.905290
0.186000	13.743417	2.113150	-99.895358
0.187000	13.793974	2.060793	-99.890653
0.188000	13.831893	2.017162	-99.882290
0.189000	13.857172	1.973530	-99.881244
0.190000	13.882451	1.929899	-99.891176
0.191000	13.907730	1.868815	-99.902153
0.192000	13.933009	1.799005	-99.930381
0.193000	13.958288	1.764100	-99.962267
0.194000	13.970927	1.729195	-100.000426
0.195000	13.970927	1.668111	-100.047995
0.196000	13.958288	1.598301	-100.091381
0.197000	13.933009	1.554670	-100.136336
0.198000	13.907730	1.528491	-100.178154
0.199000	13.882451	1.502312	-100.221018
0.225299	13.857172	1.476134	-100.257086
0.226299	13.819253	1.467407	-100.292109
0.227299	13.768695	1.484860	-100.325564
0.228299	13.718138	1.519765	-100.354314
0.229299	13.667580	1.572123	-100.377837
0.230299	13.629661	1.624480	-100.401359
0.231299	13.617022	1.676838	-100.423837
