Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
10.665346	-10.246324	-12.913465	-96.401961
10.666346	-10.221045	-12.913465	-96.360142
10.667346	-10.195766	-12.913465	-96.320415
10.668346	-10.170487	-12.896012	-96.277551
10.669346	-10.132569	-12.878560	-96.244096
10.670346	-10.082011	-12.861107	-96.217960
10.671346	-10.018813	-12.834928	-96.192869
10.672346	-9.980895	-12.808750	-96.171437
10.673346	-9.942976	-12.800023	-96.148437
10.674346	-9.905058	-12.773844	-96.128051
10.675346	-9.854500	-12.747666	-96.118119
10.676346	-9.816582	-12.704034	-96.113937
10.677346	-9.803942	-12.660403	-96.117073
10.678346	-9.778663	-12.608046	-96.127005
10.679346	-9.766024	-12.564414	-96.148437
10.680346	-9.728105	-12.520783	-96.172483
10.681346	-9.702826	-12.477152	-96.199665
10.682346	-9.702826	-12.450973	-96.228937
10.683346	-9.728105	-12.442247	-96.257687
10.684346	-9.740745	-12.424794	-96.286960
10.685346	-9.766024	-12.424794	-96.322506
10.686346	-9.791303	-12.424794	-96.357006
10.687346	-9.803942	-12.416068	-96.387847
10.688346	-9.829221	-12.407342	-96.421302
10.689346	-9.841861	-12.398615	-96.457893
10.690346	-9.854500	-12.372437	-96.501279
10.691346	-9.867140	-12.363710	-96.545711
10.692346	-9.879779	-12.346258	-96.585438
10.693346	-9.867140	-12.337532	-96.625689
10.694346	-9.841861	-12.346258	-96.666984
10.695346	-9.829221	-12.354984	-96.703575
10.696346	-9.816582	-12.354984	-96.739643
10.697346	-9.816582	-12.363710	-96.776757
10.698346	-9.791303	-12.381163	-96.812826
10.699346	-9.753384	-12.389889	-96.848894
10.700346	-9.702826	-12.398615	-96.881826
10.701346	-9.677547	-12.389889	-96.911621
10.702346	-9.664908	-12.389889	-96.928871
10.703346	-9.652268	-12.381163	-96.943508
10.704346	-9.664908	-12.389889	-96.954485
10.705346	-9.690187	-12.398615	-96.957621
10.706346	-9.690187	-12.416068	-96.952394
10.707346	-9.677547	-12.442247	-96.937758
10.708346	-9.664908	-12.450973	-96.918417
10.709346	-9.652268	-12.477152	-96.899076
10.710346	-9.664908	-12.503331	-96.875030
10.711346	-9.664908	-12.512057	-96.850462
10.712346	-9.677547	-12.512057	-96.825894
10.713346	-9.690187	-12.512057	-96.791916
10.714346	-9.702826	-12.503331	-96.761075
10.715346	-9.728105	-12.485878	-96.729189
10.716346	-9.753384	-12.468425	-96.689462
10.717346	-9.753384	-12.459699	-96.656007
10.718346	-9.740745	-12.485878	-96.623598
10.719346	-9.702826	-12.503331	-96.599552
10.720346	-9.664908	-12.538236	-96.572893
10.721346	-9.614350	-12.564414	-96.554075
10.722346	-9.538513	-12.581867	-96.542575
10.723346	-9.500595	-12.573141	-96.536825
10.724346	-9.487955	-12.573141	-96.536825
10.725346	-9.475316	-12.581867	-96.538393
10.726346	-9.450037	-12.581867	-96.538916
10.727346	-9.399479	-12.581867	-96.543620
10.728346	-9.361560	-12.590593	-96.547802
