TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.132,19.975221,-1.90636,-16.033455
0.133,20.016925,-1.939419,-15.944067
0.134,20.058629,-1.972478,-15.809986
0.135,20.100334,-2.005536,-15.85468
0.136,20.131612,-2.038595,-15.85468
0.137,20.142038,-2.071654,-15.944067
0.138,20.131612,-2.084877,-15.944067
0.139,20.131612,-2.084877,-15.899373
0.14,20.131612,-2.084877,-15.809986
0.141,20.121186,-2.078265,-15.85468
0.142,20.11076,-2.071654,-15.944067
0.143,20.100334,-2.05843,-15.988761
0.144,20.089908,-2.038595,-15.988761
0.145,20.069055,-2.005536,-15.988761
0.146,20.048203,-1.965866,-16.078149
0.147,20.027351,-1.926195,-16.122842
0.148,20.006499,-1.886525,-16.122842
0.149,19.975221,-1.846855,-16.21223
0.15,19.943942,-1.807184,-16.256924
0.151,19.912664,-1.767514,-16.301618
0.152,19.881386,-1.727844,-16.21223
0.153,19.850108,-1.688173,-16.167536
0.154,19.829256,-1.648503,-16.078149
0.155,19.818829,-1.628668,-16.033455
0.156,19.808403,-1.602221,-16.078149
0.157,19.797977,-1.575774,-16.122842
0.158,19.777125,-1.555939,-16.167536
0.159,19.766699,-1.536103,-16.256924
0.16,19.756273,-1.529492,-16.391005
0.161,19.745847,-1.52288,-16.614474
0.162,19.735421,-1.516268,-16.837943
0.163,19.724995,-1.52288,-17.016718
0.164,19.714569,-1.529492,-17.195494
0.165,19.704143,-1.536103,-17.463656
0.166,19.714569,-1.555939,-17.642432
0.167,19.724995,-1.575774,-17.821207
0.168,19.735421,-1.595609,-17.999982
0.169,19.745847,-1.615444,-18.223451
0.17,19.756273,-1.641891,-18.44692
0.171,19.766699,-1.668338,-18.670389
0.172,19.777125,-1.688173,-18.938552
0.173,19.787551,-1.71462,-19.162021
0.174,19.797977,-1.747679,-19.38549
0.175,19.808403,-1.787349,-19.519571
0.176,19.797977,-1.840243,-19.564265
0.177,19.787551,-1.893137,-19.474878
0.178,19.777125,-1.946031,-19.340796
0.179,19.766699,-2.012148,-19.206715
0.18,19.756273,-2.071654,-19.072633
0.181,19.745847,-2.131159,-18.938552
0.182,19.735421,-2.190665,-18.715083
0.183,19.714569,-2.217112,-18.536308
0.184,19.693717,-2.243559,-18.402226
0.185,19.672864,-2.270005,-18.223451
0.186,19.662438,-2.296452,-18.044676
0.187,19.641586,-2.309676,-17.865901
0.188,19.620734,-2.322899,-17.642432
0.189,19.599882,-2.336123,-17.374269
0.19,19.57903,-2.342734,-17.061412
0.191,19.558178,-2.336123,-16.748556
0.192,19.558178,-2.322899,-16.525087
0.193,19.568604,-2.289841,-16.391005
0.194,19.589456,-2.243559,-16.391005
0.195,19.610308,-2.190665,-16.391005
0.196,19.641586,-2.131159,-16.435699
0.197,19.672864,-2.071654,-16.391005
0.198,19.704143,-2.012148,-16.301618
0.199,19.735421,-1.952642,-16.256924
0.222084,19.766699,-1.919584,-16.21223
0.223084,19.808403,-1.886525,-16.122842
0.224084,19.839682,-1.853466,-16.122842
0.225084,19.860534,-1.820408,-16.122842
0.226084,19.902238,-1.800573,-16.167536
0.227084,19.954369,-1.780737,-16.256924
0.228084,20.006499,-1.760902,-16.301618
0.229084,20.069055,-1.75429,-16.391005
0.230084,20.142038,-1.760902,-16.480393
0.231084,20.204594,-1.767514,-16.480393
0.232084,20.277577,-1.774126,-16.435699
0.233084,20.329707,-1.800573,-16.301618
0.234084,20.392264,-1.840243,-16.122842
0.235084,20.433968,-1.879913,-15.899373
0.236084,20.475672,-1.919584,-15.85468
0.237084,20.517377,-1.959254,-15.85468
0.238084,20.559081,-1.998924,-15.85468
0.239084,20.600785,-2.031983,-15.899373
0.240084,20.621638,-2.065042,-15.899373
0.241084,20.663342,-2.0981,-15.809986
0.242084,20.69462,-2.131159,-15.720598
0.243084,20.715472,-2.150994,-15.541823
0.244084,20.715472,-2.177441,-15.407742
0.245084,20.715472,-2.203888,-15.318354
0.246084,20.684194,-2.223723,-15.228966
0.247084,20.632064,-2.230335,-15.094885
0.248084,20.579933,-2.236947,-15.005497
0.249084,20.517377,-2.256782,-14.91611
0.250084,20.465246,-2.25017,-14.960804
0.251084,20.392264,-2.243559,-15.094885
0.252084,20.340133,-2.236947,-15.184273
0.253084,20.288003,-2.236947,-15.139579
0.254084,20.235873,-2.236947,-15.094885
0.255084,20.183742,-2.236947,-15.094885
0.256084,20.131612,-2.230335,-15.005497
0.257084,20.089908,-2.223723,-14.960804
0.258084,20.048203,-2.223723,-14.960804
0.259084,20.016925,-2.217112,-14.960804
0.260084,19.985647,-2.217112,-15.050191
0.261084,19.964795,-2.203888,-15.050191
0.262084,19.943942,-2.190665,-15.050191
0.263084,19.964795,-2.184053,-15.050191
0.264084,19.996073,-2.184053,-15.094885
0.265084,20.027351,-2.184053,-15.139579
0.266084,20.048203,-2.177441,-15.184273
0.267084,20.069055,-2.184053,-15.050191
0.268084,20.100334,-2.170829,-14.826722
0.269084,20.11076,-2.164218,-14.647947
0.270084,20.121186,-2.144383,-14.513866
0.271084,20.131612,-2.124547,-14.424478
0.272084,20.142038,-2.104712,-14.245703
0.273084,20.152464,-2.0981,-14.156315
0.274084,20.16289,-2.084877,-14.066927
0.275084,20.152464,-2.051818,-13.97754
0.276084,20.152464,-2.038595,-13.843458
0.277084,20.152464,-2.025371,-13.575296
0.278084,20.152464,-2.01876,-13.351827
0.279084,20.152464,-2.012148,-13.128358
0.280084,20.121186,-1.992313,-12.904889
0.281084,20.089908,-1.972478,-12.68142
0.282084,20.058629,-1.946031,-12.457951
0.283084,20.037777,-1.912972,-12.189788
0.284084,20.016925,-1.879913,-12.055706
0.285084,19.985647,-1.86669,-11.966319
0.286084,19.975221,-1.840243,-11.921625
0.287084,19.964795,-1.820408,-11.876931
0.288084,19.943942,-1.793961,-11.74285
0.289084,19.92309,-1.767514,-11.653462
0.290084,19.902238,-1.734455,-11.474687
0.291084,19.881386,-1.71462,-11.340606
0.292084,19.881386,-1.71462,-11.251218
0.293084,19.87096,-1.694785,-11.251218
0.294084,19.87096,-1.681561,-11.429993
0.295084,19.87096,-1.661726,-11.608768
0.296084,19.881386,-1.641891,-11.787544
0.297084,19.902238,-1.628668,-12.011013
0.298084,19.92309,-1.615444,-12.279175
0.299084,19.943942,-1.615444,-12.502644
0.300084,19.964795,-1.622056,-12.815501
0.301084,19.996073,-1.635279,-13.03897
0.302084,20.048203,-1.648503,-13.262439
0.303084,20.069055,-1.668338,-13.351827
0.304084,20.089908,-1.681561,-13.441214
0.305084,20.131612,-1.708008,-13.619989
0.306084,20.173316,-1.734455,-13.798765
0.307084,20.215021,-1.760902,-14.022234
0.308084,20.256725,-1.780737,-14.201009
0.309084,20.267151,-1.793961,-14.290396
0.310084,20.267151,-1.813796,-14.33509
0.311084,20.256725,-1.820408,-14.245703
0.312084,20.246299,-1.846855,-14.201009
0.313084,20.215021,-1.873302,-14.156315
0.314084,20.183742,-1.899749,-14.022234
0.315084,20.152464,-1.926195,-13.798765
0.316084,20.121186,-1.952642,-13.664683
0.317084,20.11076,-1.979089,-13.441214
0.318084,20.079481,-1.998924,-13.262439
0.319084,20.037777,-2.005536,-13.128358
0.320084,20.027351,-2.012148,-13.173051
0.321084,20.016925,-2.025371,-13.217745
0.322084,19.996073,-2.038595,-13.173051
0.323084,19.975221,-2.051818,-13.128358
0.324084,19.954369,-2.05843,-13.083664
0.325084,19.943942,-2.071654,-12.994276
0.326084,19.975221,-2.091489,-12.949582
0.327084,20.016925,-2.111324,-12.904889
0.328084,20.058629,-2.131159,-12.904889
0.329084,20.100334,-2.131159,-12.815501
0.330084,20.16289,-2.131159,-12.770807
0.331084,20.225447,-2.131159,-12.770807
0.332084,20.288003,-2.137771,-12.860195
0.333084,20.360986,-2.137771,-12.904889
0.334084,20.381838,-2.137771,-12.994276
0.335084,20.413116,-2.124547,-13.083664
0.336084,20.45482,-2.117936,-13.128358
0.337084,20.486099,-2.104712,-13.03897
0.338084,20.517377,-2.0981,-12.949582
0.339084,20.548655,-2.071654,-12.949582
0.340084,20.579933,-2.045207,-12.949582
0.341084,20.611212,-2.031983,-12.994276
0.342084,20.621638,-2.005536,-13.083664
