Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.125000	10.318116	-4.344280	-105.234511
0.126000	10.330756	-4.335554	-105.281034
0.127000	10.368674	-4.326827	-105.323375
0.128000	10.406593	-4.318101	-105.361534
0.129000	10.444511	-4.326827	-105.398125
0.130000	10.482430	-4.344280	-105.425307
0.131000	10.507709	-4.370459	-105.440466
0.132000	10.532988	-4.370459	-105.451443
0.133000	10.558267	-4.387911	-105.458761
0.134000	10.583546	-4.405364	-105.460330
0.135000	10.583546	-4.431543	-105.463989
0.136000	10.570906	-4.440269	-105.464511
0.137000	10.558267	-4.448995	-105.464511
0.138000	10.545627	-4.448995	-105.454057
0.139000	10.532988	-4.457721	-105.435761
0.140000	10.520348	-4.466448	-105.407011
0.141000	10.495069	-4.483900	-105.371988
0.142000	10.469790	-4.518805	-105.331738
0.143000	10.431872	-4.544984	-105.281556
0.144000	10.381314	-4.562436	-105.229283
0.145000	10.330756	-4.579889	-105.180670
0.146000	10.280198	-4.579889	-105.128919
0.147000	10.229640	-4.571163	-105.076124
0.148000	10.204361	-4.562436	-105.028033
0.149000	10.179082	-4.562436	-104.984124
0.150000	10.153803	-4.544984	-104.941782
0.151000	10.128524	-4.527531	-104.898396
0.152000	10.128524	-4.518805	-104.845078
0.153000	10.153803	-4.510079	-104.787055
0.154000	10.179082	-4.492626	-104.724327
0.155000	10.204361	-4.466448	-104.663691
0.156000	10.229640	-4.440269	-104.611941
0.157000	10.254919	-4.414090	-104.567509
0.158000	10.280198	-4.370459	-104.529872
0.159000	10.305477	-4.309375	-104.493804
0.160000	10.368674	-4.239565	-104.464008
0.161000	10.444511	-4.178481	-104.438395
0.162000	10.507709	-4.126124	-104.408076
0.163000	10.570906	-4.082492	-104.380894
0.164000	10.634103	-4.030135	-104.357372
0.165000	10.684661	-3.986503	-104.334894
0.166000	10.722580	-3.942872	-104.315031
0.167000	10.760498	-3.907967	-104.295167
0.168000	10.798417	-3.873062	-104.280008
0.169000	10.811056	-3.829431	-104.276349
0.170000	10.823696	-3.803252	-104.274258
0.171000	10.836335	-3.785799	-104.271121
0.172000	10.848975	-3.785799	-104.269030
0.173000	10.861614	-3.794526	-104.254917
0.174000	10.874254	-3.811978	-104.237144
0.175000	10.886893	-3.846883	-104.214667
0.176000	10.899533	-3.899241	-104.184871
0.177000	10.874254	-3.969051	-104.148280
0.178000	10.823696	-4.038861	-104.105939
0.179000	10.798417	-4.099945	-104.064121
0.180000	10.773138	-4.161029	-104.022825
0.181000	10.735219	-4.239565	-103.985189
0.182000	10.697301	-4.300649	-103.945461
0.183000	10.684661	-4.361732	-103.905734
0.184000	10.672022	-4.422816	-103.869666
0.185000	10.659382	-4.483900	-103.833597
0.186000	10.659382	-4.544984	-103.793347
0.187000	10.634103	-4.588615	-103.756756
0.188000	10.608824	-4.640973	-103.729051
0.189000	10.583546	-4.675878	-103.698733
0.190000	10.558267	-4.693330	-103.671029
0.191000	10.545627	-4.693330	-103.643847
0.192000	10.532988	-4.675878	-103.617187
0.193000	10.520348	-4.640973	-103.595756
0.194000	10.520348	-4.588615	-103.580074
0.195000	10.532988	-4.544984	-103.568574
0.196000	10.532988	-4.501353	-103.559165
0.197000	10.532988	-4.466448	-103.549755
0.198000	10.545627	-4.431543	-103.530937
0.199000	10.558267	-4.414090	-103.508460
0.228526	10.545627	-4.396637	-103.481801
0.229526	10.532988	-4.379185	-103.447823
0.230526	10.520348	-4.361732	-103.409664
0.231526	10.507709	-4.335554	-103.367846
0.232526	10.520348	-4.318101	-103.324982
0.233526	10.520348	-4.291922	-103.272186
0.234526	10.520348	-4.274470	-103.222004
0.235526	10.520348	-4.274470	-103.176527
0.236526	10.495069	-4.291922	-103.130004
0.237526	10.457151	-4.318101	-103.086618
0.238526	10.419232	-4.353006	-103.040095
0.239526	10.381314	-4.396637	-102.993572
0.240526	10.343395	-4.431543	-102.950708
0.241526	10.305477	-4.448995	-102.905753
0.242526	10.267558	-4.448995	-102.861321
0.243526	10.242279	-4.431543	-102.819503
0.244526	10.217000	-4.396637	-102.780821
0.245526	10.217000	-4.361732	-102.744753
0.246526	10.204361	-4.335554	-102.714435
0.247526	10.191722	-4.300649	-102.684639
0.248526	10.179082	-4.283196	-102.655366
0.249526	10.141164	-4.265744	-102.628184
0.250526	10.128524	-4.248291	-102.611457
0.251526	10.128524	-4.239565	-102.596298
0.252526	10.128524	-4.213386	-102.583752
0.253526	10.141164	-4.178481	-102.580616
0.254526	10.191722	-4.143576	-102.579571
0.255526	10.242279	-4.108671	-102.591071
0.256526	10.292837	-4.073766	-102.603093
0.257526	10.330756	-4.038861	-102.608321
0.258526	10.368674	-4.030135	-102.618775
0.259526	10.419232	-4.047587	-102.628707
0.260526	10.457151	-4.065040	-102.647525
0.261526	10.495069	-4.099945	-102.672616
0.262526	10.520348	-4.143576	-102.698230
0.263526	10.570906	-4.178481	-102.725935
0.264526	10.621464	-4.230839	-102.761480
0.265526	10.672022	-4.265744	-102.809049
0.266526	10.735219	-4.300649	-102.857662
0.267526	10.785777	-4.335554	-102.906799
0.268526	10.811056	-4.353006	-102.961163
0.269526	10.836335	-4.387911	-103.016049
0.270526	10.874254	-4.414090	-103.062572
0.271526	10.874254	-4.440269	-103.102300
0.272526	10.874254	-4.475174	-103.133141
0.273526	10.874254	-4.510079	-103.167641
0.274526	10.886893	-4.536258	-103.206845
0.275526	10.899533	-4.562436	-103.245005
0.276526	10.886893	-4.553710	-103.285255
0.277526	10.874254	-4.553710	-103.316096
0.278526	10.861614	-4.536258	-103.345368
0.279526	10.848975	-4.501353	-103.372028
0.280526	10.836335	-4.466448	-103.394505
0.281526	10.811056	-4.422816	-103.411232
0.282526	10.785777	-4.396637	-103.413323
0.283526	10.760498	-4.370459	-103.414369
0.284526	10.735219	-4.335554	-103.399732
0.285526	10.722580	-4.309375	-103.370982
0.286526	10.709940	-4.265744	-103.334914
0.287526	10.672022	-4.230839	-103.302505
0.288526	10.659382	-4.195934	-103.273755
0.289526	10.646743	-4.152302	-103.240823
0.290526	10.634103	-4.108671	-103.200050
0.291526	10.634103	-4.073766	-103.159277
0.292526	10.634103	-4.030135	-103.117981
0.293526	10.646743	-4.012682	-103.072504
0.294526	10.659382	-3.995230	-103.031208
0.295526	10.672022	-3.986503	-102.985731
0.296526	10.684661	-3.986503	-102.941299
0.297526	10.672022	-3.986503	-102.896867
0.298526	10.684661	-3.977777	-102.849821
0.299526	10.697301	-3.951598	-102.812708
0.300526	10.709940	-3.925420	-102.772980
0.301526	10.722580	-3.916693	-102.745276
0.302526	10.735219	-3.907967	-102.728548
0.303526	10.747859	-3.916693	-102.718094
0.304526	10.773138	-3.925420	-102.706594
0.305526	10.773138	-3.942872	-102.697185
0.306526	10.773138	-3.951598	-102.699276
0.307526	10.760498	-3.969051	-102.707116
0.308526	10.735219	-3.995230	-102.714957
0.309526	10.722580	-4.012682	-102.719662
0.310526	10.709940	-4.030135	-102.731162
0.311526	10.697301	-4.056313	-102.746321
0.312526	10.672022	-4.091218	-102.769321
0.313526	10.646743	-4.126124	-102.793889
0.314526	10.634103	-4.152302	-102.822117
0.315526	10.608824	-4.195934	-102.854526
0.316526	10.583546	-4.248291	-102.879617
0.317526	10.558267	-4.309375	-102.908367
0.318526	10.532988	-4.353006	-102.938163
0.319526	10.507709	-4.405364	-102.966913
0.320526	10.482430	-4.440269	-102.993572
0.321526	10.457151	-4.475174	-103.019708
0.322526	10.444511	-4.492626	-103.044277
0.323526	10.431872	-4.527531	-103.062049
0.324526	10.431872	-4.544984	-103.074072
0.325526	10.431872	-4.553710	-103.081913
0.326526	10.393953	-4.579889	-103.087140
0.327526	10.356035	-4.579889	-103.080868
0.328526	10.318116	-4.562436	-103.071981
0.329526	10.305477	-4.536258	-103.053163
0.330526	10.292837	-4.510079	-103.033299
0.331526	10.280198	-4.492626	-103.009254
0.332526	10.267558	-4.466448	-102.989913
0.333526	10.242279	-4.448995	-102.982595
0.334526	10.217000	-4.414090	-102.976845
0.335526	10.191722	-4.387911	-102.973185
0.336526	10.166443	-4.344280	-102.967958
0.337526	10.141164	-4.318101	-102.958549
0.338526	10.115885	-4.300649	-102.944958
0.339526	10.090606	-4.291922	-102.927185
0.340526	10.065327	-4.265744	-102.903663
0.341526	10.052687	-4.257017	-102.887458
0.342526	10.040048	-4.239565	-102.875958
0.343526	10.065327	-4.213386	-102.868117
0.344526	10.090606	-4.204660	-102.866026
0.345526	10.103245	-4.204660	-102.857140
0.346526	10.103245	-4.195934	-102.851912
0.347526	10.103245	-4.195934	-102.845640
0.348526	10.115885	-4.204660	-102.838844
0.349526	10.128524	-4.213386	-102.821071
0.350526	10.166443	-4.213386	-102.789185
0.351526	10.191722	-4.230839	-102.751026
0.352526	10.217000	-4.257017	-102.705548
0.353526	10.242279	-4.291922	-102.657980
0.354526	10.267558	-4.318101	-102.616684
0.355526	10.292837	-4.326827	-102.576434
0.356526	10.318116	-4.344280	-102.538798
0.357526	10.343395	-4.370459	-102.505343
0.358526	10.356035	-4.387911	-102.460388
0.359526	10.368674	-4.414090	-102.406025
0.360526	10.356035	-4.440269	-102.351138
0.361526	10.330756	-4.483900	-102.298865
0.362526	10.318116	-4.527531	-102.252865
0.363526	10.318116	-4.579889	-102.203206
0.364526	10.318116	-4.614794	-102.156683
0.365526	10.292837	-4.640973	-102.105978
0.366526	10.267558	-4.658425	-102.058933
0.367526	10.229640	-4.667151	-102.013455
0.368526	10.217000	-4.667151	-101.970591
0.369526	10.204361	-4.649699	-101.927205
0.370526	10.179082	-4.632246	-101.883296
0.371526	10.153803	-4.606068	-101.834682
0.372526	10.128524	-4.588615	-101.789727
0.373526	10.103245	-4.562436	-101.755227
0.374526	10.077966	-4.544984	-101.729091
0.375526	10.040048	-4.527531	-101.721773
0.376526	10.002129	-4.510079	-101.726477
0.377526	9.989490	-4.492626	-101.737977
0.378526	10.002129	-4.448995	-101.750523
0.379526	10.027408	-4.414090	-101.766204
0.380526	10.027408	-4.387911	-101.786591
0.381526	10.027408	-4.379185	-101.803841
0.382526	10.040048	-4.361732	-101.836250
0.383526	10.052687	-4.353006	-101.874409
0.384526	10.065327	-4.361732	-101.922500
0.385526	10.052687	-4.370459	-101.969023
0.386526	10.040048	-4.387911	-102.019205
0.387526	10.052687	-4.405364	-102.072524
0.388526	10.065327	-4.431543	-102.127410
0.389526	10.077966	-4.457721	-102.187001
0.390526	10.090606	-4.475174	-102.235092
0.391526	10.103245	-4.475174	-102.277433
0.392526	10.141164	-4.475174	-102.305138
0.393526	10.179082	-4.475174	-102.328661
0.394526	10.204361	-4.466448	-102.351138
0.395526	10.204361	-4.457721	-102.373093
0.396526	10.191722	-4.440269	-102.392434
0.397526	10.191722	-4.414090	-102.414911
0.398526	10.191722	-4.379185	-102.438957
0.399526	10.191722	-4.353006	-102.460388
0.400526	10.191722	-4.326827	-102.473979
0.401526	10.191722	-4.283196	-102.484434
0.402526	10.217000	-4.230839	-102.502207
0.403526	10.242279	-4.187207	-102.524161
0.404526	10.254919	-4.152302	-102.548207
0.405526	10.267558	-4.126124	-102.576957
0.406526	10.280198	-4.108671	-102.601525
0.407526	10.292837	-4.099945	-102.628184
0.408526	10.305477	-4.099945	-102.654844
0.409526	10.305477	-4.082492	-102.685685
0.410526	10.318116	-4.073766	-102.717048
0.411526	10.318116	-4.082492	-102.740048
0.412526	10.343395	-4.108671	-102.758867
0.413526	10.356035	-4.134850	-102.774549
0.414526	10.368674	-4.161029	-102.787617
0.415526	10.381314	-4.178481	-102.799117
0.416526	10.393953	-4.195934	-102.795980
0.417526	10.406593	-4.213386	-102.799639
0.418526	10.419232	-4.248291	-102.799639
