Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.147000	10.095879	5.031908	-45.876554
0.148000	10.083594	4.985538	-45.875509
0.149000	10.059022	4.962354	-45.874464
0.150000	10.034451	4.939169	-45.873418
0.151000	9.997594	4.904392	-45.872373
0.152000	9.960737	4.881207	-45.871327
0.153000	9.923880	4.881207	-45.870282
0.154000	9.887023	4.869615	-45.869759
0.155000	9.850166	4.858022	-45.869236
0.156000	9.825595	4.858022	-45.868713
0.157000	9.825595	4.858022	-45.868713
0.158000	9.850166	4.846430	-45.868713
0.159000	9.862452	4.834837	-45.869759
0.160000	9.899309	4.834837	-45.870804
0.161000	9.936166	4.846430	-45.870804
0.162000	9.973023	4.869615	-45.870804
0.163000	10.009880	4.869615	-45.871327
0.164000	10.034451	4.869615	-45.871850
0.165000	10.059022	4.904392	-45.872373
0.166000	10.083594	4.904392	-45.872895
0.167000	10.108165	4.915984	-45.873418
0.168000	10.157308	4.939169	-45.873941
0.169000	10.206451	4.939169	-45.874464
0.170000	10.255593	4.915984	-45.874986
0.171000	10.317022	4.892799	-45.875509
0.172000	10.353879	4.858022	-45.876554
0.173000	10.390736	4.834837	-45.877600
0.174000	10.403021	4.811653	-45.877600
0.175000	10.390736	4.800060	-45.877600
0.176000	10.378450	4.788468	-45.877077
0.177000	10.353879	4.788468	-45.876554
0.178000	10.329307	4.788468	-45.876554
0.179000	10.304736	4.765283	-45.877077
0.180000	10.280165	4.718914	-45.878123
0.181000	10.267879	4.684136	-45.879168
0.182000	10.267879	4.637767	-45.880214
0.183000	10.267879	4.637767	-45.881782
0.184000	10.255593	4.626174	-45.883350
0.185000	10.231022	4.614582	-45.884918
0.186000	10.206451	4.626174	-45.886486
0.187000	10.181879	4.649359	-45.888054
0.188000	10.132737	4.672544	-45.889623
0.189000	10.095879	4.730506	-45.890668
0.190000	10.059022	4.765283	-45.891714
0.191000	10.046737	4.800060	-45.893282
0.192000	10.046737	4.811653	-45.894850
0.193000	10.046737	4.823245	-45.896418
0.194000	10.046737	4.823245	-45.897986
0.195000	10.046737	4.834837	-45.899554
0.196000	10.046737	4.858022	-45.900077
0.197000	10.046737	4.904392	-45.900077
0.198000	10.059022	4.962354	-45.900600
0.199000	10.046737	5.020316	-45.901123
0.335147	10.034451	5.055093	-45.900600
0.336147	10.034451	5.078278	-45.900077
0.337147	10.034451	5.113055	-45.899554
0.338147	10.046737	5.136240	-45.899554
0.339147	10.059022	5.171017	-45.899554
0.340147	10.083594	5.194201	-45.899554
0.341147	10.108165	5.171017	-45.899032
0.342147	10.132737	5.171017	-45.898509
0.343147	10.145022	5.171017	-45.897986
0.344147	10.169594	5.194201	-45.897464
0.345147	10.206451	5.228979	-45.896418
0.346147	10.243308	5.263756	-45.895373
0.347147	10.280165	5.275348	-45.894327
0.348147	10.317022	5.286941	-45.893804
0.349147	10.353879	5.310125	-45.892759
0.350147	10.378450	5.310125	-45.891191
0.351147	10.415307	5.310125	-45.890145
0.352147	10.452164	5.298533	-45.889623
0.353147	10.501307	5.310125	-45.889100
0.354147	10.550450	5.298533	-45.888577
